# oleaut32.dll exports for 'Ordinals to Names' Hopper Script
# Ordinal        Name
imp_ordinal_197  imp_VarDecFromStr
imp_ordinal_198  imp_VarDecFromDisp
imp_ordinal_199  imp_VarDecFromBool
imp_ordinal_200  imp_GetErrorInfo
imp_ordinal_201  imp_SetErrorInfo
imp_ordinal_202  imp_CreateErrorInfo
imp_ordinal_203  imp_VarDecRound
imp_ordinal_204  imp_VarDecCmp
imp_ordinal_205  imp_VarI2FromI1
imp_ordinal_206  imp_VarI2FromUI2
imp_ordinal_207  imp_VarI2FromUI4
imp_ordinal_208  imp_VarI2FromDec
imp_ordinal_209  imp_VarI4FromI1
imp_ordinal_210  imp_VarI4FromUI2
imp_ordinal_211  imp_VarI4FromUI4
imp_ordinal_212  imp_VarI4FromDec
imp_ordinal_213  imp_VarR4FromI1
imp_ordinal_214  imp_VarR4FromUI2
imp_ordinal_215  imp_VarR4FromUI4
imp_ordinal_216  imp_VarR4FromDec
imp_ordinal_217  imp_VarR8FromI1
imp_ordinal_218  imp_VarR8FromUI2
imp_ordinal_219  imp_VarR8FromUI4
imp_ordinal_220  imp_VarR8FromDec
imp_ordinal_221  imp_VarDateFromI1
imp_ordinal_222  imp_VarDateFromUI2
imp_ordinal_223  imp_VarDateFromUI4
imp_ordinal_224  imp_VarDateFromDec
imp_ordinal_225  imp_VarCyFromI1
imp_ordinal_226  imp_VarCyFromUI2
imp_ordinal_227  imp_VarCyFromUI4
imp_ordinal_228  imp_VarCyFromDec
imp_ordinal_229  imp_VarBstrFromI1
imp_ordinal_230  imp_VarBstrFromUI2
imp_ordinal_231  imp_VarBstrFromUI4
imp_ordinal_232  imp_VarBstrFromDec
imp_ordinal_233  imp_VarBoolFromI1
imp_ordinal_234  imp_VarBoolFromUI2
imp_ordinal_235  imp_VarBoolFromUI4
imp_ordinal_236  imp_VarBoolFromDec
imp_ordinal_237  imp_VarUI1FromI1
imp_ordinal_238  imp_VarUI1FromUI2
imp_ordinal_239  imp_VarUI1FromUI4
imp_ordinal_240  imp_VarUI1FromDec
imp_ordinal_241  imp_VarDecFromI1
imp_ordinal_242  imp_VarDecFromUI2
imp_ordinal_243  imp_VarDecFromUI4
imp_ordinal_244  imp_VarI1FromUI1
imp_ordinal_245  imp_VarI1FromI2
imp_ordinal_246  imp_VarI1FromI4
imp_ordinal_247  imp_VarI1FromR4
imp_ordinal_248  imp_VarI1FromR8
imp_ordinal_249  imp_VarI1FromDate
imp_ordinal_250  imp_VarI1FromCy
imp_ordinal_251  imp_VarI1FromStr
imp_ordinal_252  imp_VarI1FromDisp
imp_ordinal_253  imp_VarI1FromBool
imp_ordinal_254  imp_VarI1FromUI2
imp_ordinal_255  imp_VarI1FromUI4
imp_ordinal_256  imp_VarI1FromDec
imp_ordinal_257  imp_VarUI2FromUI1
imp_ordinal_258  imp_VarUI2FromI2
imp_ordinal_259  imp_VarUI2FromI4
imp_ordinal_260  imp_VarUI2FromR4
imp_ordinal_261  imp_VarUI2FromR8
imp_ordinal_262  imp_VarUI2FromDate
imp_ordinal_263  imp_VarUI2FromCy
imp_ordinal_264  imp_VarUI2FromStr
imp_ordinal_265  imp_VarUI2FromDisp
imp_ordinal_266  imp_VarUI2FromBool
imp_ordinal_267  imp_VarUI2FromI1
imp_ordinal_268  imp_VarUI2FromUI4
imp_ordinal_269  imp_VarUI2FromDec
imp_ordinal_270  imp_VarUI4FromUI1
imp_ordinal_271  imp_VarUI4FromI2
imp_ordinal_272  imp_VarUI4FromI4
imp_ordinal_273  imp_VarUI4FromR4
imp_ordinal_274  imp_VarUI4FromR8
imp_ordinal_275  imp_VarUI4FromDate
imp_ordinal_276  imp_VarUI4FromCy
imp_ordinal_277  imp_VarUI4FromStr
imp_ordinal_278  imp_VarUI4FromDisp
imp_ordinal_279  imp_VarUI4FromBool
imp_ordinal_280  imp_VarUI4FromI1
imp_ordinal_281  imp_VarUI4FromUI2
imp_ordinal_282  imp_VarUI4FromDec
imp_ordinal_283  imp_BSTR_UserSize
imp_ordinal_284  imp_BSTR_UserMarshal
imp_ordinal_285  imp_BSTR_UserUnmarshal
imp_ordinal_286  imp_BSTR_UserFree
imp_ordinal_287  imp_VARIANT_UserSize
imp_ordinal_288  imp_VARIANT_UserMarshal
imp_ordinal_289  imp_VARIANT_UserUnmarshal
imp_ordinal_290  imp_VARIANT_UserFree
imp_ordinal_291  imp_LPSAFEARRAY_UserSize
imp_ordinal_292  imp_LPSAFEARRAY_UserMarshal
imp_ordinal_293  imp_LPSAFEARRAY_UserUnmarshal
imp_ordinal_294  imp_LPSAFEARRAY_UserFree
imp_ordinal_295  imp_LPSAFEARRAY_Size
imp_ordinal_296  imp_LPSAFEARRAY_Marshal
imp_ordinal_297  imp_LPSAFEARRAY_Unmarshal
imp_ordinal_298  imp_VarDecCmpR8
